# %ECSV 1.0
# ---
# datatype:
# - {name: r_pix, datatype: int64}
# - {name: x, unit: lambda/D, datatype: float64}
# - {name: y, unit: normI, datatype: float64}
# meta: !!omap
# - {reference: Ruane et al 2022}
# - {url: 'https://doi.org/10.1117/12.2628972'}
# - {pupil: clear}
# - {color: blue}
# - {ls: '-'}
# - {courtesy: Garreth Ruane}
# - {bp_pct: 10}
# - {coronagraph: VVC4}
# - {wl: 635}
# - {DM: 2 AOX}
# - {testbed: HCIT}
# schema: astropy-2.0
r_pix x y
147 14.7522000926355 nan
148 14.8525551953065 nan
149 14.9529102979775 nan
150 15.0532654006485 nan
151 15.1536205033194 nan
152 15.2539756059904 nan
153 15.3543307086614 nan
154 15.4546858113324 nan
155 15.5550409140034 nan
156 15.6553960166744 nan
157 15.7557511193454 nan
158 15.8561062220164 nan
159 15.9564613246874 nan
160 16.0568164273583 nan
161 16.1571715300293 nan
162 16.2575266327003 nan
163 16.3578817353713 nan
164 16.4582368380423 nan
165 16.5585919407133 nan
166 16.6589470433843 nan
167 16.7593021460553 nan
168 16.8596572487263 nan
169 16.9600123513973 nan
170 17.0603674540682 nan
171 17.1607225567392 nan
172 17.2610776594102 nan
173 17.3614327620812 nan
174 17.4617878647522 nan
175 17.5621429674232 nan
176 17.6624980700942 nan
